"","Day","Condition","OrgID","Size"
"335",27,"CONTROL","6",1.21350639
"336",27,"CONTROL","7",1.16292129
"337",27,"CONTROL","8",1.13234495
"338",27,"CONTROL","9",1.24986715
"339",27,"CONTROL","10",1.37629725
"340",27,"CONTROL","11",1.29978021
"341",27,"CONTROL","12",1.30863913
"342",27,"CONTROL","13",1.13752263
"343",27,"CONTROL","14",1.61845654
"344",27,"CONTROL","15",1.19620483
"345",27,"CACHD1_MUTANT1","1",1.25168192
"346",27,"CACHD1_MUTANT1","2",1.53107263
"347",27,"CACHD1_MUTANT1","3",1.32342396
"348",27,"CACHD1_MUTANT1","4",1.34678474
"349",27,"CACHD1_MUTANT1","5",1.60841679
"350",27,"CACHD1_MUTANT1","6",1.61010369
"351",27,"CACHD1_MUTANT1","7",1.54596629
"352",27,"CACHD1_MUTANT1","8",1.32958929
"353",27,"CACHD1_MUTANT1","9",1.64064738
"354",27,"CACHD1_MUTANT1","10",1.73463739
"355",27,"CACHD1_MUTANT1","11",1.22983118
"356",27,"CACHD1_MUTANT1","12",1.43652214
"357",27,"CACHD1_MUTANT1","13",1.29427875
"358",27,"CACHD1_MUTANT1","14",1.3550342
"359",27,"CACHD1_MUTANT1","15",1.24838703
"360",27,"CACHD1_MUTANT1","16",1.58650348
"361",27,"CACHD1_MUTANT2","1",2.24908067
"362",27,"CACHD1_MUTANT2","2",1.5229184
"363",27,"CACHD1_MUTANT2","3",1.42635451
"364",27,"CACHD1_MUTANT2","4",1.51864946
"365",27,"CACHD1_MUTANT2","5",1.86326589
"366",27,"CACHD1_MUTANT2","6",1.74691364
"367",27,"CACHD1_MUTANT2","7",1.45490658
"368",27,"CACHD1_MUTANT2","8",1.69289217
"369",27,"CACHD1_MUTANT2","9",1.61888099
"370",27,"CACHD1_MUTANT2","10",1.52838176
"371",27,"CACHD1_MUTANT2","11",1.41424696
"372",27,"CACHD1_MUTANT2","12",1.79120281
"373",27,"CACHD1_MUTANT2","13",1.42507846
"374",27,"CACHD1_MUTANT2","14",1.52502974
"375",27,"CACHD1_MUTANT2","15",1.59430673
"376",27,"CACHD1_MUTANT2","16",1.8123407
