,SNaPs1,SNaPs2,SNaPs3,SNaPs4,ESCs1,ESCs2,ESCs3,ESCs4
ENSG00000008083,236,674,749,769,1978,2308,1700,1085
ENSG00000008086,49,79,97,79,119,94,116,118
ENSG00000008118,68,128,112,131,23,27,14,33
ENSG00000008128,13,19,38,31,89,81,62,26
ENSG00000008130,94,86,148,159,293,340,236,182
ENSG00000008196,92,129,199,179,0,0,0,0
ENSG00000008197,4,5,7,7,0,0,0,0
ENSG00000008226,6,23,12,11,0,7,4,1
ENSG00000008256,31,27,51,53,31,28,23,19
ENSG00000008277,33,60,62,68,54,43,39,44
ENSG00000008282,889,1135,1211,1105,1561,1822,1429,1977
ENSG00000008283,96,195,316,304,248,302,231,211
ENSG00000008294,326,832,815,851,299,236,290,215
ENSG00000008300,242,374,356,429,466,489,333,234
ENSG00000008311,193,386,485,444,1643,1542,1318,1105
ENSG00000008323,3,4,6,3,52,57,54,45
ENSG00000008324,249,286,249,301,629,701,410,581
ENSG00000008382,38,43,54,61,19,30,27,26
ENSG00000008394,1525,1712,1951,1917,4190,4596,3510,4118
ENSG00000008405,237,445,486,364,462,574,326,405
ENSG00000008438,0,0,0,0,0,0,0,0
ENSG00000008441,0,0,2,1,0,0,2,0
ENSG00000008513,162,210,255,255,109,111,88,72
ENSG00000008516,0,1,3,4,40,29,21,8
ENSG00000008517,0,1,0,1,5,10,2,2
ENSG00000008710,39,140,190,176,190,167,98,80
ENSG00000008735,16,16,26,26,1,14,2,1
ENSG00000008838,885,1141,1425,1337,1020,1341,965,831
ENSG00000008853,87,101,97,139,42,64,52,20
ENSG00000008869,113,155,175,170,103,98,75,79
ENSG00000008952,384,447,572,542,405,429,356,485
ENSG00000008988,6477,7190,8698,8581,9610,10938,8367,8203
ENSG00000009307,3783,7763,8790,8608,7600,8773,6869,7166
ENSG00000009335,59,131,112,123,174,197,177,164
ENSG00000009413,97,199,162,184,31,11,17,23
ENSG00000009694,1,5,0,10,3,7,10,7
ENSG00000009709,40,53,62,61,2,3,1,0
ENSG00000009724,1,3,3,2,4,1,3,0
ENSG00000009765,0,0,0,0,0,0,0,0
ENSG00000009780,210,297,285,357,331,341,273,301
ENSG00000009790,0,7,2,6,1,0,0,2
ENSG00000009830,91,116,161,151,60,58,61,61
ENSG00000009844,733,1143,1158,1144,1094,1180,1090,1236
ENSG00000009950,2,1,7,2,10,32,6,12
ENSG00000009954,238,331,388,423,321,290,241,259
ENSG00000010017,82,121,174,158,80,78,77,102
ENSG00000010030,2,1,0,1,0,1,0,0
ENSG00000010072,95,200,167,174,132,157,109,130
ENSG00000010165,261,329,363,342,630,718,567,509
ENSG00000010219,236,275,387,332,56,53,36,49
ENSG00000010244,1991,2402,2761,2880,3445,3717,3071,3635
ENSG00000010256,4656,5811,6486,6874,5865,6869,4757,4759
ENSG00000010270,637,907,979,1085,594,677,442,622
ENSG00000010278,216,218,260,261,2724,3147,2153,2269
ENSG00000010282,0,0,0,0,0,1,0,0
ENSG00000010292,958,2723,2744,3000,2384,2622,2066,1564
ENSG00000010295,24,32,47,38,29,47,28,25
ENSG00000010310,10,4,7,11,16,13,6,0
ENSG00000010318,14,18,31,35,23,43,15,8
ENSG00000010319,0,3,7,0,8,12,11,4
ENSG00000010322,437,858,1119,1206,785,823,570,315
ENSG00000010327,0,0,0,1,10,14,1,9
ENSG00000010361,205,271,358,344,268,284,213,153
ENSG00000010379,0,0,0,0,0,1,0,0
ENSG00000010404,271,566,515,551,198,217,173,118
ENSG00000010438,0,0,3,0,5,0,0,0
ENSG00000010539,58,147,173,135,151,150,101,117
ENSG00000010610,47,58,58,69,23,32,41,29
ENSG00000010626,85,105,147,112,23,18,7,19
ENSG00000010671,2,10,9,2,8,4,11,11
ENSG00000010704,8,13,27,17,15,6,11,8
ENSG00000010803,299,461,497,472,262,333,183,226
ENSG00000010810,178,186,241,219,79,93,95,76
ENSG00000010818,26,64,88,62,82,69,61,45
ENSG00000010932,22,31,26,41,0,0,0,0
ENSG00000011007,277,652,648,588,808,941,653,602
ENSG00000011009,511,652,786,826,1309,1609,982,1156
ENSG00000011021,237,395,448,384,280,230,203,190
ENSG00000011028,51,147,247,261,61,78,40,25
ENSG00000011052,307,197,333,299,188,161,134,110
ENSG00000011083,0,0,0,0,0,0,0,0
ENSG00000011105,12,24,9,24,44,42,23,21
ENSG00000011114,111,191,209,171,210,172,174,197
ENSG00000011132,3,18,32,34,48,80,20,16
ENSG00000011143,299,395,428,506,307,279,204,182
ENSG00000011198,68,87,102,94,175,223,120,132
ENSG00000011201,45,55,57,68,439,281,429,461
ENSG00000011243,56,150,201,196,172,273,172,64
ENSG00000011258,56,56,80,70,73,85,86,105
ENSG00000011260,355,772,862,898,1838,2064,1259,1277
ENSG00000011275,381,529,574,540,573,599,441,419
ENSG00000011295,146,195,206,222,158,133,155,131
ENSG00000011304,631,1057,1529,1712,2331,2480,1476,917
ENSG00000011332,7,11,15,17,14,9,11,8
ENSG00000011347,1,2,4,6,21,18,17,16
ENSG00000011376,219,543,550,706,887,901,860,672
ENSG00000011405,216,423,449,455,581,410,480,439
ENSG00000011422,84,103,195,128,213,270,182,171
ENSG00000011426,292,791,894,908,844,734,671,428
ENSG00000011451,44,64,87,75,37,40,45,36
ENSG00000011454,170,242,332,314,133,150,133,126
ENSG00000011465,305,349,391,367,0,0,0,0
ENSG00000011478,57,66,60,83,125,134,69,46
ENSG00000011485,164,279,472,599,745,857,390,311
ENSG00000011523,389,623,817,738,584,623,521,467
ENSG00000011566,61,69,115,108,137,147,157,194
ENSG00000011590,3,7,5,2,2,6,7,0
ENSG00000011600,0,0,0,0,0,4,0,5
ENSG00000011638,279,315,352,367,457,530,414,357
ENSG00000011677,34,92,100,76,112,89,138,124
ENSG00000012048,369,606,798,674,410,413,373,401
ENSG00000012061,900,1102,1166,1247,638,795,507,484
ENSG00000012124,0,0,0,0,0,0,0,0
ENSG00000012171,16,40,46,87,35,41,19,24
ENSG00000012174,95,365,409,389,245,219,153,106
ENSG00000012211,10,19,17,11,75,68,81,30
ENSG00000012223,1,0,0,0,0,0,0,0
ENSG00000012232,400,1009,1065,1084,754,738,671,393
ENSG00000012504,0,0,0,0,0,0,0,0
ENSG00000012660,2049,2586,2791,2654,3628,3870,3052,3671
ENSG00000012779,8,6,4,7,2,14,5,7
