"gene","wt_0_r1","wt_0_r2","wt_0_r3","wt_15_r1","wt_15_r2","wt_15_r3","wt_30_r1","wt_30_r2","wt_30_r3","wt_60_r1","wt_60_r2","wt_60_r3","wt_120_r1","wt_120_r2","wt_120_r3","wt_180_r1","wt_180_r2","wt_180_r3","mut_0_r1","mut_0_r2","mut_0_r3","mut_15_r1","mut_15_r2","mut_15_r3","mut_30_r1","mut_30_r2","mut_30_r3","mut_60_r1","mut_60_r2","mut_60_r3","mut_120_r1","mut_120_r2","mut_120_r3","mut_180_r1","mut_180_r2","mut_180_r3"
"SPBC19C7.12c",9.41627457976465,9.3412222017689,9.4538643801658,8.45365347149994,8.90874554488622,9.03528620486746,9.48151583785299,9.81766626198929,9.73316109111705,9.89944202262811,9.99972365638694,10.0093257326176,9.52801050872191,9.39009291107925,9.69826015416478,9.42021852597828,9.72555006686909,9.50630516074096,9.34201924494216,9.31390939532729,9.58129205033712,9.03669864729038,8.9577239356255,9.02488037475669,9.72366797028028,9.83931656213589,9.90848394365681,9.8520310509376,9.90084615569396,10.0050756966424,9.61175041454559,9.65225507754313,9.65375587242053,9.41688887186026,9.3572285121437,9.46553198234735
"SPBC20F10.03",7.88908821001827,7.71220250065233,7.57266717663325,9.82001361461352,9.77234028088274,9.22209353161839,10.65426200598,10.7788399684908,10.469575983252,8.50464185593184,8.52140728814291,8.20934165898708,8.3852780445597,7.84211496821674,8.27579212595253,8.1321335362201,8.50253243869538,8.19628347922198,7.77653243052049,7.69368166699041,7.75914678740252,9.60396843913875,9.63973801869203,9.63772204212712,10.6139011045066,10.9921405442428,10.5777577530322,8.30436738823035,8.21607238398219,8.11297148480405,8.41924124125467,8.35036358145359,8.29820962298689,8.30703080538676,8.04932266509748,8.06080730649954
"SPBC16A3.02c",9.93575867306519,9.86857581567524,9.99732669067822,12.3473091641588,12.1639883183704,12.2114219004708,13.4488027061389,13.2622915051539,13.2242003317235,10.8733272475721,11.5103176593157,10.9746328255624,10.6486343062242,10.337749409732,10.6825484617243,10.3257856513878,10.9272789331875,10.2154245512684,9.79960740955062,9.98584625333419,9.9197261390841,12.3255113066046,11.9844923934426,12.0262521409626,13.5618773141445,13.4812168356689,13.2676317844046,10.7849473512704,11.1475097099242,10.5805872446322,10.668344423705,10.6539282849046,10.7179941174991,10.5198611941576,10.4905819235555,10.181134653248
"SPBC17A3.04c",12.1175696680476,12.0508663921548,12.0605409662927,12.3358566815556,12.2289534860609,12.4345655978511,11.7748428090967,11.6283027555053,11.6113566618213,11.535248577226,11.5549295908334,11.5407553273007,11.9573404457142,11.9061483233642,11.8855667577774,11.8724485654205,11.9792602042513,11.8681668140928,12.1243732123033,12.0711821665592,12.1601531119595,12.401665800341,12.3506589572164,12.290918216026,11.7153898176236,11.8979568131793,11.6816246490864,11.6745399711877,11.463274745087,11.5686549131237,11.9588458941656,11.817791460104,12.0410298437138,12.0092300105109,11.8896691046888,11.9361556052686
"SPBC2G5.02c",8.20403968242211,8.32972261575797,8.40253938160163,8.01413309842766,7.89434545895612,8.00271098733754,8.7003071593254,8.7580717811338,9.32306412795081,8.72465721644245,8.83763386335935,8.92422807561641,8.76204359303124,8.71696453121526,8.91796024048359,8.82189250984911,8.7360557699162,8.7885744947084,8.14288709583715,8.26672201209915,8.58042838269342,7.88092931645712,8.04663138485434,8.21719147410991,8.74441451633705,8.50617363890951,9.1010956824286,8.87782008011139,9.13281299214525,9.11111658954273,8.69438258135012,8.76774668678988,8.7050870449088,8.59041377045567,8.7722220487586,8.84294655370641
"SPNCRNA.1611",4.57598741923468,4.19836518546589,4.93625649411902,6.12913865111426,6.27724839217698,6.82828240268836,7.01925857313644,7.53042707878891,7.4388563160829,4.99747492500396,4.87061017816187,4.65087759605658,4.73553095152115,4.7138124054354,4.73688128943443,4.51847739312658,5.14276895961971,4.83918694820083,4.57537780131117,4.49155152087453,4.69604492601338,6.46337230204216,6.38265328142222,6.25512796627369,7.50488180756716,7.69973403576796,7.43076870791241,4.82469097328233,5.06334936739875,4.93439418368108,4.80205504041861,4.9153815261035,4.86294346048196,5.12482041426771,5.18190525758751,4.58563825628619
"SPCC16A11.15c",6.76668554398791,6.93790387878041,6.96367117062519,10.1492781412132,9.36655560062479,9.08059712032154,10.8316238501542,11.0923548633918,10.8529003905537,7.60617066201854,8.12727915861823,7.52518279689364,7.22362915666468,7.36579108975961,7.41444788436659,6.95236485507354,7.42378119530208,7.29745551000782,6.70164446513906,6.94238726624185,6.59491524853127,9.25747433873621,9.21034585531227,9.52229459538615,11.1455017194101,11.1646381958512,11.0567887887708,7.21259559326014,7.36377999088541,7.43364704225358,7.1154036585466,7.30107964580499,7.25423604160066,7.13006022518173,6.9516606733881,7.37890139801643
"SPCC1223.13",7.27939020894627,7.41264787648783,7.56639585681692,6.24419716858681,6.58320808808841,5.6575110234168,7.8428926736276,7.68403187088671,8.25194703568832,7.94960031182769,7.95166814510586,7.92976655828772,7.66107828149165,7.65839481486147,7.62012242296368,7.53569208511423,7.6941303037045,7.75203328036298,7.35102760821198,7.5053733157598,7.3650167244238,6.91502448311147,6.53097778481022,6.37236588372654,7.71313799135895,7.41694203906348,7.88544628520085,7.67080692349202,8.23253473676664,8.2815421131055,7.33841935392761,7.72754555991362,7.58477578614349,7.48211633981788,7.83363547888399,7.69184823276692
"SPCC1919.12c",9.54652411877179,9.53139417023622,9.74968857708861,8.97066288549594,8.68645953167319,8.36293561230736,10.0018520738157,9.66916954515063,9.8645642273168,9.84909563493877,9.91558529896275,9.82604113892413,9.82016374066082,9.58521698774943,9.60060662917781,9.60316511200729,9.77473384831942,9.49652675542956,9.56747123674861,9.50742651199602,9.6631181703265,8.56360355279533,9.08383174000129,8.390920336142,9.96031913980471,9.64343958896964,9.88416330199144,9.96596773075934,9.7720841048769,9.90152214715148,9.67790728604294,9.76097331153865,9.63516305865426,9.57908565251814,9.74249706582684,9.59040545036229
"SPCC338.12",7.46860212268231,7.5651784505724,7.60361391086104,10.2374095991224,10.1097188911871,10.5223003098693,11.2627873618515,11.3018116065614,11.2215813849246,8.81395293640415,9.43340708221147,8.7426445214925,8.38898737408428,7.86442017960295,8.53496060525391,8.31657581902627,8.8322417569981,8.00182500154088,7.49058228557087,7.30925734588069,7.52648649576192,10.2468646313255,9.98558144077879,10.0481028963512,11.4239563637701,11.3908058752198,11.3179045130791,8.84285288596423,9.20945422424028,8.53384345288927,8.21593278663136,8.49473909974204,8.49550706732466,8.10034016344474,8.07933598869222,8.00180905486406
